scrape_time,lastUpdateId,bp_1,bz_1,bp_2,bz_2,bp_3,bz_3,bp_4,bz_4,bp_5,bz_5,bp_6,bz_6,bp_7,bz_7,bp_8,bz_8,bp_9,bz_9,bp_10,bz_10,bp_11,bz_11,bp_12,bz_12,bp_13,bz_13,bp_14,bz_14,bp_15,bz_15,bp_16,bz_16,bp_17,bz_17,bp_18,bz_18,bp_19,bz_19,bp_20,bz_20,ap_1,az_1,ap_2,az_2,ap_3,az_3,ap_4,az_4,ap_5,az_5,ap_6,az_6,ap_7,az_7,ap_8,az_8,ap_9,az_9,ap_10,az_10,ap_11,az_11,ap_12,az_12,ap_13,az_13,ap_14,az_14,ap_15,az_15,ap_16,az_16,ap_17,az_17,ap_18,az_18,ap_19,az_19,ap_20,az_20
2023-04-07 06:22:25,17771414207,27958.70000000,2.07266000,27958.62000000,0.28202000,27958.53000000,1.09187000,27958.52000000,0.63044000,27958.44000000,0.54193000,27958.31000000,0.61641000,27958.00000000,0.02500000,27957.82000000,0.01690000,27957.54000000,0.19871000,27957.36000000,0.63502000,27957.21000000,0.01789000,27956.85000000,0.50786000,27956.63000000,0.01800000,27956.15000000,0.05847000,27955.20000000,0.05000000,27954.85000000,0.05222000,27954.84000000,0.03020000,27954.21000000,0.11333000,27954.20000000,0.18874000,27954.18000000,0.10565000,27958.71000000,1.07397000,27959.27000000,0.62159000,27960.00000000,0.57553000,27960.01000000,0.28570000,27960.04000000,0.41031000,27960.05000000,0.13820000,27960.06000000,0.65976000,27960.15000000,0.07475000,27960.30000000,0.00652000,27961.02000000,0.00067000,27961.15000000,0.06952000,27961.28000000,0.00323000,27961.54000000,0.36842000,27961.78000000,0.61393000,27961.82000000,0.05000000,27962.06000000,0.03581000,27962.56000000,0.01596000,27962.77000000,0.00652000,27963.34000000,0.05371000,27963.35000000,0.08946000
2023-04-07 06:22:29,17771414313,27958.70000000,2.22951000,27958.62000000,0.28202000,27958.53000000,1.09187000,27958.52000000,0.63044000,27958.44000000,0.54193000,27958.31000000,0.61641000,27958.00000000,0.02500000,27957.82000000,0.01690000,27957.54000000,0.19871000,27957.36000000,0.63502000,27957.31000000,0.56396000,27957.21000000,0.01789000,27956.63000000,0.01800000,27956.15000000,0.05847000,27955.20000000,0.05000000,27954.85000000,0.05222000,27954.84000000,0.03020000,27954.49000000,0.32194000,27954.48000000,0.53655000,27954.20000000,0.18874000,27958.71000000,1.02804000,27959.38000000,0.37787000,27959.92000000,0.58917000,27960.00000000,0.57553000,27960.01000000,0.28570000,27960.04000000,0.41031000,27960.05000000,0.13820000,27960.06000000,0.65976000,27960.30000000,0.00652000,27961.02000000,0.00067000,27961.15000000,0.06952000,27961.28000000,0.00323000,27961.54000000,0.36842000,27961.56000000,0.05200000,27961.78000000,0.61393000,27961.82000000,0.05000000,27962.06000000,0.03581000,27962.56000000,0.01596000,27962.77000000,0.00652000,27963.34000000,0.05371000
2023-04-07 06:22:34,17771414497,27958.70000000,2.53858000,27958.62000000,0.28202000,27958.53000000,1.09187000,27958.52000000,0.63044000,27958.44000000,0.54193000,27958.31000000,0.61641000,27958.23000000,0.49826000,27958.00000000,0.02500000,27957.82000000,0.01690000,27957.54000000,0.19871000,27957.36000000,0.63502000,27957.21000000,0.01789000,27956.63000000,0.01800000,27956.15000000,0.05847000,27955.20000000,0.05000000,27954.85000000,0.05222000,27954.84000000,0.03020000,27954.49000000,0.32194000,27954.48000000,0.53655000,27954.20000000,0.18874000,27958.71000000,0.40535000,27958.73000000,0.01155000,27958.83000000,0.01916000,27959.15000000,0.64769000,27959.52000000,0.56571000,27960.00000000,0.00119000,27960.05000000,0.47383000,27960.06000000,0.65976000,27960.26000000,0.37235000,27960.30000000,0.00652000,27961.02000000,0.00067000,27961.15000000,0.06952000,27961.28000000,0.00323000,27961.82000000,0.05000000,27962.06000000,0.03581000,27962.56000000,0.01596000,27962.77000000,0.00652000,27963.34000000,0.33394000,27963.35000000,0.08946000,27963.38000000,0.55657000
2023-04-07 06:22:38,17771414580,27958.70000000,2.57402000,27958.62000000,0.28202000,27958.53000000,1.09187000,27958.52000000,0.63044000,27958.44000000,0.54193000,27958.31000000,0.61641000,27958.23000000,0.49826000,27958.00000000,0.02500000,27957.82000000,0.01690000,27957.54000000,0.19871000,27957.36000000,0.63502000,27957.21000000,0.01789000,27956.63000000,0.01800000,27956.15000000,0.05847000,27955.20000000,0.05000000,27954.85000000,0.05222000,27954.84000000,0.03020000,27954.49000000,0.32194000,27954.48000000,0.53655000,27954.20000000,0.18874000,27958.71000000,0.27454000,27959.04000000,0.01966000,27959.15000000,0.64769000,27959.52000000,0.56571000,27960.00000000,0.00119000,27960.05000000,0.47383000,27960.06000000,0.65976000,27960.26000000,0.37235000,27960.30000000,0.00652000,27961.02000000,0.00067000,27961.15000000,0.06952000,27961.28000000,0.00323000,27961.37000000,0.38540000,27961.79000000,0.32983000,27961.80000000,0.54957000,27961.82000000,0.05000000,27962.06000000,0.03581000,27962.56000000,0.01596000,27962.77000000,0.00652000,27963.34000000,0.05367000
2023-04-07 06:22:43,17771414738,27958.70000000,3.21735000,27958.62000000,0.28202000,27958.53000000,1.09187000,27958.52000000,0.63044000,27958.44000000,0.54193000,27958.31000000,0.61641000,27958.00000000,0.02500000,27957.82000000,0.04752000,27957.54000000,0.19871000,27957.36000000,0.63502000,27957.21000000,0.01789000,27956.90000000,0.20000000,27956.63000000,0.01800000,27956.15000000,0.05847000,27955.20000000,0.05000000,27954.85000000,0.05222000,27954.84000000,0.03020000,27954.58000000,0.32200000,27954.57000000,0.53655000,27954.48000000,0.53655000,27958.71000000,0.27062000,27958.76000000,0.02103000,27959.12000000,0.37725000,27959.15000000,0.64769000,27959.44000000,0.10818000,27959.54000000,0.66385000,27960.00000000,0.00119000,27960.06000000,0.65976000,27960.30000000,0.00652000,27961.02000000,0.00067000,27961.15000000,0.06952000,27961.28000000,0.00323000,27961.34000000,0.33095000,27961.79000000,0.32983000,27961.80000000,0.54957000,27961.82000000,0.05000000,27962.06000000,0.03581000,27962.56000000,0.01596000,27962.77000000,0.00652000,27963.35000000,0.08946000
2023-04-07 06:22:48,17771415211,27958.70000000,0.14347000,27958.51000000,0.59969000,27958.14000000,0.40313000,27957.82000000,0.03062000,27957.71000000,0.94355000,27957.70000000,0.65636000,27957.52000000,0.47428000,27957.51000000,0.59550000,27957.25000000,0.39391000,27956.99000000,0.05365000,27956.67000000,0.55399000,27956.43000000,0.00974000,27956.25000000,0.00875000,27956.17000000,0.01800000,27956.15000000,0.05847000,27956.11000000,0.02500000,27955.80000000,0.00960000,27955.49000000,0.34763000,27955.48000000,0.57938000,27954.89000000,0.38674000,27958.71000000,1.79716000,27958.76000000,0.08779000,27959.15000000,0.64769000,27959.23000000,0.37118000,27959.44000000,0.10818000,27959.94000000,0.61970000,27959.97000000,0.67434000,27959.98000000,0.58944000,27960.00000000,0.00119000,27960.06000000,0.65976000,27960.20000000,0.11593000,27960.30000000,0.00652000,27960.33000000,0.02500000,27960.58000000,0.02993000,27960.82000000,0.59736000,27961.02000000,0.00067000,27961.28000000,0.00323000,27961.33000000,0.05200000,27961.49000000,0.11132000,27961.68000000,0.05364000
2023-04-07 06:22:52,17771415319,27958.70000000,0.10337000,27958.51000000,0.59969000,27958.35000000,0.30982000,27958.14000000,0.40313000,27957.82000000,0.03062000,27957.71000000,0.94355000,27957.70000000,0.65636000,27957.59000000,0.02500000,27957.52000000,0.47428000,27957.35000000,0.54003000,27957.27000000,0.59394000,27957.25000000,0.00224000,27957.06000000,0.05365000,27956.43000000,0.00974000,27956.25000000,0.00875000,27956.17000000,0.01800000,27956.15000000,0.05847000,27955.83000000,0.47131000,27955.80000000,0.00960000,27955.20000000,0.02500000,27958.71000000,1.39980000,27958.76000000,0.08779000,27959.15000000,0.64769000,27959.23000000,0.37118000,27959.44000000,0.10818000,27959.94000000,0.61970000,27959.97000000,0.67434000,27959.98000000,0.58944000,27960.00000000,0.00119000,27960.06000000,0.65976000,27960.20000000,0.11593000,27960.30000000,0.00652000,27960.58000000,0.02993000,27960.82000000,0.59736000,27961.02000000,0.00067000,27961.28000000,0.00323000,27961.33000000,0.05200000,27961.49000000,0.11132000,27961.81000000,0.18542000,27961.82000000,0.05000000
2023-04-07 06:22:57,17771415562,27958.70000000,0.16180000,27958.67000000,0.24843000,27958.59000000,0.57428000,27958.51000000,0.59969000,27958.35000000,0.30982000,27958.06000000,0.54068000,27957.82000000,1.12226000,27957.81000000,0.66368000,27957.70000000,0.65636000,27957.59000000,0.44458000,27957.52000000,0.47428000,27957.25000000,0.00224000,27956.43000000,0.00974000,27956.25000000,0.00875000,27956.22000000,0.01800000,27956.15000000,0.05847000,27955.80000000,0.00960000,27955.20000000,0.02500000,27954.41000000,0.03026000,27954.38000000,0.32201000,27958.71000000,0.52341000,27958.75000000,0.00068000,27960.00000000,0.00119000,27960.05000000,0.48735000,27960.06000000,0.65976000,27960.20000000,0.11593000,27960.30000000,0.00652000,27960.58000000,0.02993000,27960.93000000,0.22993000,27961.02000000,0.00067000,27961.28000000,0.00323000,27961.33000000,0.05200000,27961.52000000,0.53710000,27961.81000000,0.18542000,27961.82000000,0.05000000,27962.06000000,0.03581000,27962.56000000,0.01596000,27962.77000000,0.00652000,27963.34000000,0.05374000,27963.35000000,0.08946000
2023-04-07 06:23:01,17771415886,27958.70000000,0.29584000,27958.67000000,0.24843000,27958.59000000,0.57428000,27958.51000000,0.59969000,27958.46000000,0.48724000,27958.35000000,0.30982000,27958.07000000,1.79121000,27958.06000000,0.54068000,27957.82000000,0.03062000,27957.81000000,0.66368000,27957.70000000,0.65636000,27957.52000000,0.47428000,27957.25000000,0.00224000,27957.10000000,0.20000000,27956.44000000,0.18544000,27956.43000000,0.00974000,27956.25000000,0.00875000,27956.22000000,0.01800000,27956.16000000,0.21840000,27956.15000000,0.05847000,27958.71000000,0.33079000,27959.27000000,0.61618000,27959.83000000,0.39736000,27959.92000000,0.60993000,27960.00000000,0.00119000,27960.06000000,0.65976000,27960.20000000,0.11593000,27960.30000000,0.00652000,27960.58000000,0.02993000,27961.02000000,0.00067000,27961.28000000,0.00323000,27961.33000000,0.05200000,27961.82000000,0.05000000,27962.06000000,0.03581000,27962.16000000,0.24812000,27962.56000000,0.01596000,27962.77000000,0.00652000,27962.85000000,0.39584000,27962.86000000,0.39522000,27962.96000000,0.48428000
2023-04-07 06:23:06,17771417361,27967.94000000,3.40164000,27967.91000000,0.58611000,27967.90000000,0.08050000,27967.59000000,0.37605000,27967.45000000,0.45640000,27967.16000000,0.33374000,27967.15000000,0.55590000,27967.14000000,0.00187000,27966.72000000,0.19470000,27966.71000000,0.39736000,27966.62000000,0.55430000,27966.40000000,0.02500000,27964.56000000,0.01789000,27964.22000000,0.04648000,27964.21000000,0.07743000,27964.05000000,0.03747000,27964.04000000,0.02976000,27963.61000000,0.01800000,27963.60000000,0.05000000,27963.38000000,0.20000000,27967.95000000,0.02008000,27968.15000000,0.01713000,27968.54000000,0.65925000,27968.89000000,0.25233000,27968.97000000,0.21627000,27968.98000000,0.36045000,27969.38000000,0.00322000,27969.60000000,0.00043000,27969.71000000,0.57457000,27969.72000000,0.61924000,27970.00000000,0.00700000,27970.12000000,0.33146000,27970.13000000,0.07287000,27970.17000000,0.57016000,27970.43000000,0.54142000,27970.49000000,0.03577000,27970.50000000,0.00073000,27970.60000000,0.00652000,27970.83000000,0.00997000,27970.99000000,0.07088000
